Clear_Concept	Rewatch	Checkback_Reference	Skipping	non_dropout	IPI
-102.8	-54.8	-54.4	-114.7	0	-6
-102	-86	-90	-166	0	0
-79.4	-68.7	-53.3	-51.975305	0	0
-118.4	-63.6	-46	-54.545299	0	-6
-81.5	-51.9	-34.7	-78.3	0	0
-102.8	-54.8	-54.4	-114.7	0	-6
-65.9	-59	-82.3	-158.2	0	8
-51.7	-15.592893	-18.946447	-19.685786	0	0
-94.8	-56.5	-23.2	-21.667007	0	0
-77.591752	-25.458759	-17.6	-79.1	0	0
-63	-20.533975	4.254701	13.866025	1	0
-128	-102	-98	-168	0	0
-115.6	-56.6	-21.195466	-86.4	0	-6
-128.8	-75	-48.5	-82.7	0	-6
-102	-86	-90	-166	0	0
-65.9	-59	-82.3	-158.2	0	8
-102	-86	-90	-166	0	0
-120.2	-100.4	-96.1	-168	1	0
-68.5	-63.6	-80.9	-158.4	1	8
-120.2	-100.4	-96.1	-168	1	0
-120.2	-100.4	-96.1	-168	1	0
-120.2	-100.4	-96.1	-168	1	0
-120.2	-100.4	-96.1	-168	1	0
-120.2	-100.4	-96.1	-168	1	0
-128	-102	-98	-168	0	0
-128	-102	-98	-168	0	0
-128	-102	-98	-168	1	0
-72.1	-29.567949	-28.6	-85.1	1	0
-128	-102	-98	-168	0	0
-128	-102	-98	-168	0	0
-128	-102	-98	-168	0	0
-10.567544	-8.486406	-32.783772	-79	0	0
20.774874	-32.2	-77.3	-151	0	6
-39.183503	-30.883503	-53.6	-109.1	0	0
-65.9	-59	-82.3	-158.2	1	8
-102	-86	-90	-166	1	0
-102	-86	-90	-166	1	0
-65.9	-59	-82.3	-158.2	0	8
-65.9	-59	-82.3	-158.2	1	8
-68.5	-63.6	-80.9	-158.4	1	8
-65.9	-59	-82.3	-158.2	1	8
-120.2	-100.4	-96.1	-168	1	0
-12.6	-7.5	-6.866667	-59.333333	0	0
-102	-86	-90	-166	1	0
-102	-86	-90	-166	1	0
-120.2	-100.4	-96.1	-168	1	0
-102	-86	-90	-166	1	0
-102	-86	-90	-166	1	0
-65.9	-59	-82.3	-158.2	1	8
-193.336583	-159.072795	-138.145466	-269.918199	0	0
-62.9	-60.8	-80.3	-143	1	2
-64.6	-39.1	-49.4	-98.2	0	0
-102	-86	-90	-166	1	0
-37.52265	-26.62265	-48	-100.7	0	0
-71.4	-40.3	-54.1	-117.8	1	0
-102	-86	-90	-166	1	0
-120.2	-100.4	-96.1	-168	1	0
-102	-86	-90	-166	1	0
-102	-86	-90	-166	1	0
-74.36795	-67.2	-89.6	-170	1	8
-8.8	-39.9	-79.5	-148	1	8
2.067767	-28.2	-53.4	-105.3	1	0
-68.6	-54.7	-55	-97.8	0	0
-33.885786	-43.1	-74.2	-137.7	1	0
-68.705573	-62.6	-85.8	-164	0	8
-69.3	-35.685786	-52.3	-111.8	0	0
-120.2	-100.4	-96.1	-168	1	0
-85.9	-84.1	-86.9	-145.8	1	6
-61.967949	-62.8	-83.9	-164	1	8
-120.2	-100.4	-96.1	-168	1	0
-96.9	-84.4	-88.1	-166.2	0	6
-73.652921	-71.8	-91.5	-176	1	8
-120.2	-100.4	-96.1	-168	1	0
-68.5	-63.6	-80.9	-158.4	1	8
-120.2	-100.4	-96.1	-168	1	0
-120.2	-100.4	-96.1	-168	1	0
-138.3	-75.9	-29.267544	-87.2	0	-6
-120.2	-100.4	-96.1	-168	1	0
-68.5	-63.6	-80.9	-158.4	1	8
-17.290599	-53.6	-88.9	-166	1	8
-120.2	-100.4	-96.1	-168	1	0
-90.6	-63.6	-34.6	-106	1	0
-46.1	-34.345299	-52.2	-98.6	1	0
-120.2	-100.4	-96.1	-168	1	0
-120.2	-100.4	-96.1	-168	1	0
-48.12265	-75.9	-86.3	-146.7	1	8
-120.2	-100.4	-96.1	-168	1	0
-120.2	-100.4	-96.1	-168	1	0
-120.2	-100.4	-96.1	-168	1	0
-68.5	-63.6	-80.9	-158.4	1	8
-120.2	-100.4	-96.1	-168	1	0
-68.5	-63.6	-80.9	-158.4	1	8
-65	-65	-85.7	-167	1	8
-120.2	-100.4	-96.1	-168	1	0
10.096151	-42.4	-79.3	-154	1	8
-73.652921	-71.8	-91.5	-176	1	8
-120.2	-100.4	-96.1	-168	1	0
-65.9	-59	-82.3	-158.2	0	8
-4.066107	-37.8	-77.4	-148	1	6
-61.967949	-62.8	-83.9	-164	1	8
-8.086398	-44.4	-81.3	-154	1	8
-120.2	-100.4	-96.1	-168	1	0
-120.2	-100.4	-96.1	-168	1	0
-120.2	-100.4	-96.1	-168	0	0
-48.5	-70.598216	-93.9	-161.6	1	8
-120.2	-100.4	-96.1	-168	1	0
-120.2	-100.4	-96.1	-168	1	0
-102	-86	-90	-166	0	0
-87.887129	-46.669703	-67	-139.1	1	0
-66.003253	-75.8	-106.2	-191	1	8
-61.967949	-62.8	-83.9	-164	1	8
-74.36795	-67.2	-89.6	-170	0	8
-68.2	-67.2	-87.7	-170	1	8
-47.345299	-79.9	-84.4	-146.6	1	8
-61.967949	-62.8	-83.9	-164	1	8
-71.051317	-69.5	-89.5	-173	1	8
-120.2	-100.4	-96.1	-168	1	0
-120.2	-100.4	-96.1	-168	1	0
-68.5	-63.6	-80.9	-158.4	1	8
-120.2	-100.4	-96.1	-168	1	0
-66.003253	-75.7	-106.2	-191	1	8
-85.9	-84.1	-86.9	-145.8	1	6
-48.592608	-48.512702	-41.312702	-125	1	0
