        Pattern     Times     Count    Non_Dropout   Dropout           Rate
       PlPaPlSt      7146      6986           5952      1034       0.851990
       SbPaPlSt       957       953            781       172       0.819517
       PaPlSbSt       496       495            403        92       0.814141
       PlSbSbSb      2383      1775           1011       764       0.569577
      PlSbSSbSb       801       722            404       318       0.559557
       PlSbPaPl      6861      4080           2275      1805       0.557598
       PaPlPaPl    107208     12978           7130      5848       0.549391
       PlPaPlPa    102143     13585           7434      6151       0.547221
       PlSbSbPa      2566      1980           1080       900       0.545455
       PlPaPlSb      9377      5725           3043      2682       0.531528
       PaPlSbPa      6287      3611           1901      1710       0.526447
       SbPaPlPa      8536      4910           2584      2326       0.526273
       SbSbPaPl      4958      3162           1660      1502       0.524984
       PaPlSbSb      4789      3080           1605      1475       0.521104
       SbSbSbPa      2066      1465            761       704       0.519454
       PlStPaPl       865       831            428       403       0.515042
      PaPlSbSSb      1036       911            455       456       0.499451
       SbPaPlSb      3545      2081           1031      1050       0.495435
      SbSSbSbPa       751       695            344       351       0.494964
       SbSbSbSb      4744      1265            625       640       0.494071
      SSbSbPaPl      1372      1176            581       595       0.494048
       StPaPlPa       618       601            291       310       0.484193
      SbSSbSbSb       703       571            276       295       0.483363
      SbSbSSbSb       691       586            273       313       0.465870
      SSbSbSbSb       475       397            177       220       0.445844
      SbSbSbSSb       479       411            181       230       0.440389
     SbSSbSSbSb       516       467            194       273       0.415418
      PlPaPlSSb       438       379            152       227       0.401055
       PaPlStPa       705       674            267       407       0.396142
       SbSfPaPl      1007       907            357       550       0.393605
       SbSbSbSf       754       693            255       438       0.367965
       SfSbPaPl      1091       992            363       629       0.365927
    SbSSbSSbSSb       540       487            178       309       0.365503
       PlSfSbPa       453       444            160       284       0.360360
       PaPlSfSb       829       777            280       497       0.360360
    SSbSSbSSbSb       482       435            156       279       0.358621
       PaPlSfPa      1616      1349            477       872       0.353595
       SfPaPlPa      3386      2727            963      1764       0.353135
       PlSfPaPl      2141      1839            647      1192       0.351822
       PlPaPlSf      3826      3266           1143      2123       0.349969
       PlSfSbSb       568       561            192       369       0.342246
       SbPaPlSf      1283      1142            384       758       0.336252
       PaPlSbSf      1131      1024            343       681       0.334961
      SSfSbPaPl       593       540            179       361       0.331481
       SfSbSbPa       523       510            167       343       0.327451
      PlSfSSfSf      1517      1448            472       976       0.325967
       PlSfSfPa      1141      1055            336       719       0.318483
       PaPlSfSf      2816      2291            710      1581       0.309908
       SfPaPlSb      1282      1168            361       807       0.309075
   SSbSSbSSbSSb       669       307             93       214       0.302932
       SfSfPaPl      2980      2430            736      1694       0.302881
       SfSbSbSb       768       698            209       489       0.299427
      PaPlSfSSf      1752      1552            453      1099       0.291881
       SfSfSfPa      1776      1606            450      1156       0.280199
      SfSSfSfSf      2739      2193            609      1584       0.277702
       PlSbSfSf       518       498            138       360       0.277108
      SfSSfSfPa      1039       971            268       703       0.276004
      SSfSfSfPa       800       765            210       555       0.274510
       SbSbSfSf       620       577            158       419       0.273830
      SfSfSSfSb       448       433            118       315       0.272517
       PlSfSfSb       594       584            159       425       0.272260
      SfSfSSfSf      2923      2295            618      1677       0.269281
      SSfSfSfSf      2581      2110            568      1542       0.269194
       PlSfSfSf      3521      3255            873      2382       0.268203
     SfSSfSSfSf      2996      2410            644      1766       0.267220
       PaPlStSf       595       588            157       431       0.267007
      PlPaPlSSf       446       433            115       318       0.265589
      SSfSfPaPl      2179      1815            478      1337       0.263361
       SfSfSfSf      9328      3184            834      2350       0.261935
     PlSfSSfSSf      1890      1800            470      1330       0.261111
     SSfSSfSfSf      2472      2080            539      1541       0.259135
     SSfSSfSfSb       517       503            130       373       0.258449
      SfSSfSfSb       496       477            123       354       0.257862
     SSfSfSSfSf      2132      1636            420      1216       0.256724
       SfPaPlSf      2415      1884            477      1407       0.253185
      PaPlSSfSf       607       576            144       432       0.250000
      SfSfSfSSf      2956      2408            602      1806       0.250000
     SfSSfSfSSf      2347      1783            445      1338       0.249579
      SbSfSSfSf       481       458            114       344       0.248908
     SfSSfSSfSb       454       440            109       331       0.247727
    SSfSSfSSfSf      4536      3223            784      2439       0.243252
       SfSbSbSf       439       408             99       309       0.242647
     SbSfSSfSSf       565       541            131       410       0.242144
     SSfSfSfSSf      1820      1507            361      1146       0.239549
       SbSfSfSf      1012       916            215       701       0.234716
      PlSfSfSSf      1408      1365            317      1048       0.232234
       SfSfSbSb       786       715            165       550       0.230769
       SfSbSfSf       744       680            156       524       0.229412
     SfSfSSfSSf      2948      2470            565      1905       0.228745
    SSfSfSSfSSf      3283      2310            528      1782       0.228571
    SSfSSfSfSSf      3072      2204            503      1701       0.228221
    SfSSfSSfSSf      4981      3505            794      2711       0.226534
     SSfSSfSfPa      1549      1379            309      1070       0.224075
       SfSfSfSb      1272      1112            245       867       0.220324
   SSfSSfSSfSSf     10577      2808            604      2204       0.215100
    SSfSSfSSfSb       785       715            150       565       0.209790
       SfSfSbSf       751       672            138       534       0.205357
     PaPlSSfSSf       783       713            141       572       0.197756
      SfPaPlSSf       895       802            153       649       0.190773
    PlSSfSSfSSf       796       748            118       630       0.157754
