 StartTime   Dropout  Non_Drop            IPI
         0       512      1092      -2.410224
         1       855      1614      -2.315917
         2      1121      1974      -2.222294
         3      1299      2245      -2.141648
         4      1040      1732      -2.103175
         5      1253      2228      -2.200517
         6      1412      2540      -2.110324
         7      1967      2879      -2.101527
         8      1840      2392      -2.004253
         9      1493      1784      -1.963381
        10      1114      1426      -2.027559
        11      1440      1813      -1.993237
        12      1673      2455      -1.927810
        13      2066      2994      -2.021344
        14      2037      2942      -2.036955
        15      1706      2194      -1.931795
        16      1022      1224      -1.959929
        17       567       698      -2.023715
        18       276       356      -1.977848
        19       174       199      -2.048257
        20       162       214      -2.265957
        21       161       369      -2.396226
        22       153       323      -2.436975
        23       192       503      -2.382734
