                User   Dropout    Non_Dropout            IPI
              Elaine         4              0      -2.500000
            YANCHENG        14              2      -0.625000
             cchjill         0              1      -4.000000
      4250__D0471764        19             36      -1.745455
         stevenchang         0              1      -6.000000
           104602029        25             21      -1.086957
                waru         1              0      -4.000000
            fcujimmy         3              2      -4.000000
            rize7410         0              1      -4.000000
        jiliwang0723         9              3      -3.500000
          cchs311005        10              8      -3.333333
             yaozhou         0              1      -4.000000
           ChenGenJu         1              2       0.000000
          hellosilpn         4              1      -2.400000
         forever0517         2              7      -3.333333
            arue1024        14              6      -0.700000
          rain888221         1              0      -4.000000
           chenyenju         2              6      -3.000000
           yujuichen         7             67      -2.702703
            smalllin         8              7      -2.800000
        teresa830611         0              1      -4.000000
          cchs112074         1              3      -2.500000
       Bboy-ZhaoZhao         2              0      -4.000000
         107D0340679        37             10      -1.276596
              sv3307         8              1      -1.111111
        shaina8chien         1              2      -2.000000
          LutherTsai         1              0      -4.000000
             jim5405         0              3      -4.000000
            M0321258         1              0      -4.000000
         teacherchen         1             20      -4.000000
        Sanchong5958         2             12      -0.428571
           GraceChou        18             99      -0.564103
          cchs311072         8             12       0.900000
         prussia0225         5             16      -0.952381
             carnosa         0              2      -4.000000
              may129         7              4       0.181818
             joechou         0              3      -2.000000
           life60323         5              0      -1.600000
        shibainu0925         1              3      -2.500000
         chiouhantse         1              2      -4.000000
              CHINGH         1              0       2.000000
              WU0914         0              1      -4.000000
              KikiWu        21             17      -2.842105
            LindaLee         1              2       0.000000
           Moob12345        38             19      -2.385965
               hanas        23              4      -2.592593
            s1023006         2              5      -3.142857
            zxcv8806         1              2      -4.000000
             Yu-Ting        20             52      -0.666667
        DANNIS888888         0              1       2.000000
          sunnywufun         4              1      -1.600000
       kosingongcdd1         1              0      -2.000000
        Jenniferwang         0              7      -3.142857
            Eric6201         1              0       0.000000
          fairysky06         1             10      -2.363636
          sunboy5278        15              9      -1.416667
           cc5211246         2              2       0.000000
          ChiYingTzu         2              0       0.000000
               black         7              1      -2.500000
                 MOH         2              0      -4.000000
            kangleis         1              0      -4.000000
           janny8012         2            111      -3.911504
         112D0357791        37              4      -4.048780
    ClaireSophieChen         1              0      -4.000000
             Mencius         1             69      -4.000000
           TinaHwang        28             72      -1.380000
          wind740910         3              8      -1.818182
          tssh014081         0              1      -6.000000
              aa9339         0              7      -3.142857
            BF102095         1              0      -4.000000
          dgking85e8         0              3      -2.000000
        LaiChiehHsiu         1              2      -4.000000
           AndyHuang         5              0      -2.800000
          aszx123445         1              0      -6.000000
          TSAILiSnow         1              0      -4.000000
      xian1498855313         0              1       0.000000
         tendervicky         0              1       2.000000
           j88205507         1              0      -4.000000
            D0443379         3              2      -2.800000
        HunghanChang        14             15       0.000000
         mayjanewang         1              4      -2.800000
            pengwejn         0              4      -2.500000
              q94321         3             72      -3.946667
         candy808874         0              1      -4.000000
         chchs311007         7              3      -4.000000
 k12-EducationCenter        25              5      -1.000000
         235D0354589        16              1      -4.470588
        RobinJhang22         2              1      -4.000000
         judehtc2018         1              0      -4.000000
            f0187511         2              0      -1.000000
           YiChunLin         1              0       2.000000
     D-0-4-7-0-2-9-0         1              1      -1.000000
         v0963164617        11              7      -1.444444
              edwang         5              0      -2.800000
        amybiotech85         1              1      -1.000000
          cchs111134         2              0      -4.000000
         howardcartw         4              1       1.200000
             shirely         0              1       2.000000
              ccu922        38             33      -3.070423
         123D0346430         4              0      -1.500000
          cchs312039        11              7      -4.000000
            chutilin         5             17      -0.818182
          SophiaWang         1              4      -0.800000
             Gary007         6              7      -0.307692
          TsaiHengLi        11             20      -0.322581
          joyang0111         0              3       0.000000
            s1022756         3              0      -3.333333
        201510270804        13             57      -0.657143
         jacky778199         1              6      -2.857143
         IncbixCrazy        16              6      -1.272727
         134D0492185        29              7      -2.777778
       NancyChen4684         1              0       2.000000
            yk600924        14             40      -2.851852
            marscook        14             20      -1.705882
           MysticDon        11              1      -1.833333
             EasonLo        11              0      -1.636364
           peishanwu         3              4       0.285714
          stweet0227        10              6      -0.125000
                 meg         1              0       0.000000
          cchs112110         4              3      -2.285714
             lqwxkck         1              0      -4.000000
         edgeofworld         0              1       2.000000
         134D0356166        17             14      -1.419355
             tenling         3              6      -4.000000
         120D0383129         8              1      -0.666667
               andyw         3             15      -3.333333
                 TYL         1             10      -3.454545
           KEJUNZHOU        14             10      -0.833333
                 cwh         6             30      -2.388889
               jonas         0             18      -1.555556
                moga         0              4       2.000000
            albertma         9              9      -1.000000
         peter100001         5            107      -3.892857
             swhuang         0              1      -4.000000
          tinashih88         1              3      -4.000000
           zoey_0925        16              3      -3.789474
             JanetWu         1              1      -5.000000
          Shu-JenSun         0             73      -3.342466
           Cleanwing         1              4      -4.800000
          ling810922         0              3      -4.000000
             yhchang         2              0      -1.000000
         112D0357671        48              9      -2.842105
             ogiwolf         3              3      -1.333333
            ymt91094         3             89      -3.673913
             Miaochi         2              2       0.500000
           EdwardChu         9              0      -4.000000
          cchs111012         2             10      -1.333333
            JHUBOHAN         1              1      -1.000000
             wei-jen         9             11      -0.200000
            Jasinger        15              0      -2.666667
          cchs311023        12             25      -2.702703
         zongciapmin         7              7      -0.714286
                 DYU         1              0      -4.000000
      a860952196love         1              1      -4.000000
            LisaShen         1              0       2.000000
         102D0325928         1              0      -4.000000
                Miss         5             11       0.125000
              wenyaw         0              5      -4.000000
           za0809449         2              4       0.333333
            Veronica        11             61      -0.638889
           sunshihlu         8              1      -3.555556
           103703016         0              5      -0.400000
            d0440919         0              1      -4.000000
            D0271284         3              1       0.000000
     davidortiz91237        36              3      -3.743590
            huei1999         0              1      -4.000000
           zxp930110         2             11       0.769231
             uty2222        11             32      -1.906977
         107D0381011         2              8      -2.200000
         ericzx70116         1              0      -4.000000
          sufangjhen         7              5      -0.333333
          neil851026         1              0      -2.000000
            lin83923         1              2      -2.666667
        ok0937697188         3              0      -4.000000
         131D0412007         2              2       0.500000
        0304D0382500         1              0      -4.000000
          DavidCheng        10              2      -2.333333
          cchs111033         1              3      -2.500000
          kaoannie88         1              5      -2.666667
          YachiChang        12             79      -1.714286
         joey5716315         1              0      -4.000000
         102D0337280         5              0      -2.400000
               GaTei        13              1      -2.428571
             BrianWu         2              0      -2.000000
            hsiulien         2              5      -3.142857
           a89724655         1              0      -4.000000
           maywinnie         3              2      -4.000000
         120D0345632         1              0       0.000000
         huiwen11718         3             26       0.689655
          takuya0822        15              4      -0.842105
           Shang-Lin         5              0      -4.000000
            seanshui       120             41      -1.391304
           104602028         1             46      -0.680851
        uchienta1010         5             94      -3.393939
           kevin8452         4              7      -0.181818
          TammyHuang         1              3       0.500000
            mifi_wen         1              1      -4.000000
             TzuYing        16              6      -1.090909
            viginiia         4            145      -3.906040
         123D0345884         1              0      -4.000000
           Jimmy0809         6              0      -4.000000
             WenyuLo         0              1       0.000000
        shinshian824         9             22      -1.741935
           xp8061992         4              9      -0.461538
             Usemame         0              1       2.000000
         136D0447417         0              5      -4.000000
            g9622808         0              1       0.000000
             KarenWu         7             23       0.133333
            oasisboy         0              1       0.000000
        kevinwang088         1              0      -4.000000
           104602031        16              8      -2.583333
         larry199411        13             14      -0.296296
         teacherchou        41             22      -2.476190
             SHANBIN         1              0      -4.000000
         107D0340369         1              0       0.000000
              erinta         4              3      -3.428571
         learngogogo         1              0       2.000000
         123D0309561         3              0      -2.000000
         BarbraChang         3              8      -2.545455
             kj2live         2              2      -1.000000
           emma1202q         2              0      -3.000000
               elisa        43              5      -2.125000
         jason850204         0              4      -1.500000
           henrychen         1             68      -4.000000
          cchs112203         0              1      -4.000000
                Mojo         1              2       0.000000
         ray19841984         1              1      -4.000000
          JackieWang         1              0      -4.000000
            BF102038         1              0      -4.000000
       tommy19920709         1              0      -4.000000
          cchs111039         0              1      -4.000000
            ching888         1              1       1.000000
               wagen         5              0      -2.800000
      origamifighter         3              1       0.000000
             ChainAn         1              9       0.400000
               Donna        13             14       0.148148
            JuliaLiu         3             44      -1.446809
       GN008D0131688         1              0      -4.000000
                 CKJ         0              4      -1.000000
              hmchen         1              4       0.400000
               ZZWei         3              6      -2.888889
               r1015         1              2       1.333333
             EvaTeng         1              0      -6.000000
              0316gv         0             12      -3.000000
         130D0491225         3              1      -3.500000
             yasnn00         0              2      -4.000000
        bryant850316         3              0      -1.333333
         zhuhandsome         1              0      -4.000000
               SHUEN         2              2      -3.000000
            mayshinn         1              0       2.000000
          Peterpeter         0              2       2.000000
         118D0343316         4             10      -2.571429
             a053036         6             18      -0.500000
           CindyFang         7             14      -1.142857
         j13579aeiou         1              0      -4.000000
         shoulderlin         1              0      -4.000000
             CinSung         1              0       2.000000
           joanchang         1              5      -3.000000
            maccling         8             35      -2.651163
          cchs311060         5              0      -0.400000
         111D0382472        11              0      -3.818182
             Lillian         1              0       2.000000
           greatuang         3             20      -3.043478
         104D0379801         4              0       0.500000
                Kira         4              5      -3.333333
            lingling        15              8      -1.391304
        hsienhsienwu         6              7       0.307692
         toadfreefly         1              0      -4.000000
             Michael         1              1      -4.000000
        Tang-kai-han         1              0      -4.000000
           liusinted         1              0      -4.000000
   Vanessa3479622857         0             21      -4.000000
            msaviras         2             13       0.266667
        smpss89384m1         1              0      -2.000000
              Jiehan         0              1      -4.000000
         130D0452873         1              0      -2.000000
           104602016         8             11      -1.052632
         106D0439773         3              3      -4.000000
          yihsuan945         4              3      -0.285714
         vc0401mayor         1              2      -1.333333
              v168tw         2              5      -1.142857
              ahua24        27             45      -2.138889
    onebyonetizzybac         3              0      -2.666667
          lianglichi         1              3      -2.500000
